TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-08-17-59-46-300000,"[0.2963283061981201, 1.3951269388198853, 0.008307456970214844]","[-4.061004161834717, -18.445552825927734, -3.3863203525543213]","[-0.07570004463195801, 1.2006754875183105, 0.31238412857055664]","[21.644062042236328, 4.705531120300293, 6.000763416290283]","[-0.3924710750579834, 1.1859521865844727, 0.3271968364715576]","[-23.822359085083008, -10.747759819030762, 11.874300956726074]"
2019-11-08-17-59-46-800000,"[0.29111814498901367, 1.3958730697631836, 0.005808830261230469]","[-4.568831920623779, -18.024168014526367, -3.3536083698272705]","[-0.07102775573730469, 1.181708812713623, 0.30797576904296875]","[20.476102828979492, 9.163726806640625, 6.874232769012451]","[-0.39116597175598145, 1.186324119567871, 0.3266422748565674]","[-24.141273498535156, -10.73221492767334, 11.659441947937012]"
2019-11-08-17-59-46-941000,"[0.2913227081298828, 1.3959144353866577, 0.00445556640625]","[-4.5161566734313965, -18.239675521850586, -3.4032745361328125]","[-0.06662726402282715, 1.1771177053451538, 0.3092041015625]","[20.711368560791016, 9.81163215637207, 5.609947204589844]","[-0.3927586078643799, 1.1861169338226318, 0.3261454105377197]","[-24.20366668701172, -10.771218299865723, 11.561539649963379]"
2019-11-08-17-59-46-941000,"[0.2913227081298828, 1.3959144353866577, 0.00445556640625]","[-4.5161566734313965, -18.239675521850586, -3.4032745361328125]","[-0.06662726402282715, 1.1771177053451538, 0.3092041015625]","[20.711368560791016, 9.81163215637207, 5.609947204589844]","[-0.3927586078643799, 1.1861169338226318, 0.3261454105377197]","[-24.20366668701172, -10.771218299865723, 11.561539649963379]"
2019-11-08-17-59-47-301000,"[0.29087162017822266, 1.3968408107757568, 0.005694389343261719]","[-4.759172439575195, -18.492998123168945, -3.113233804702759]","[-0.053081512451171875, 1.1834003925323486, 0.28769707679748535]","[20.480775833129883, 7.6882171630859375, 5.492331027984619]","[-0.39594459533691406, 1.1881885528564453, 0.3270113468170166]","[-23.99974822998047, -11.001686096191406, 11.851471900939941]"
2019-11-08-17-59-47-446000,"[0.2911393642425537, 1.397141933441162, 0.005570650100708008]","[-4.917006492614746, -18.570449829101562, -3.132542133331299]","[-0.061989784240722656, 1.1980783939361572, 0.2926483154296875]","[18.278949737548828, 4.218183994293213, 4.651566505432129]","[-0.39462947845458984, 1.1880838871002197, 0.32735180854797363]","[-23.602214813232422, -10.851289749145508, 11.791523933410645]"
2019-11-08-17-59-47-802000,"[0.2912595272064209, 1.3982841968536377, 0.0029909610748291016]","[-5.445971488952637, -18.728294372558594, -2.968968152999878]","[-0.057105302810668945, 1.1825296878814697, 0.2857365608215332]","[18.390100479125977, 6.696059703826904, 1.7551089525222778]","[-0.3924891948699951, 1.188570261001587, 0.327390193939209]","[-23.5219669342041, -11.331673622131348, 11.861380577087402]"
2019-11-08-17-59-48-302000,"[0.28743720054626465, 1.4010684490203857, -0.0011334419250488281]","[-5.414853572845459, -21.71472930908203, -0.5281322598457336]","[-0.050200462341308594, 1.213929533958435, 0.27822279930114746]","[16.985485076904297, -5.039715766906738, 12.646665573120117]","[-0.38956642150878906, 1.1874585151672363, 0.32465672492980957]","[-23.480972290039062, -11.329129219055176, 11.714078903198242]"
2019-11-08-17-59-48-803000,"[0.28752970695495605, 1.399053931236267, 3.5762786865234375e-05]","[-5.457242965698242, -24.196897506713867, 1.0327202081680298]","[-0.07730507850646973, 1.1919574737548828, 0.2888147830963135]","[8.915806770324707, 2.3685975074768066, 10.896485328674316]","[-0.39084863662719727, 1.1897118091583252, 0.32912278175354004]","[-23.718551635742188, -11.60315227508545, 11.437026023864746]"
2019-11-08-17-59-49-304000,"[0.2856447696685791, 1.3987398147583008, 0.0063860416412353516]","[-5.443890571594238, -23.934682846069336, 0.5500264763832092]","[-0.08435654640197754, 1.2556089162826538, 0.28844475746154785]","[8.38404369354248, -17.472841262817383, 24.036834716796875]","[-0.39136171340942383, 1.1879968643188477, 0.32842016220092773]","[-23.754796981811523, -11.580476760864258, 11.397708892822266]"
2019-11-08-17-59-49-804000,"[0.28650856018066406, 1.3985049724578857, 0.0067653656005859375]","[-5.5429792404174805, -24.202110290527344, 0.3067449927330017]","[-0.07133984565734863, 1.251606822013855, 0.29326820373535156]","[14.10230541229248, -12.95631217956543, 20.064163208007812]","[-0.38961029052734375, 1.1880214214324951, 0.3279452323913574]","[-23.655500411987305, -11.51907730102539, 11.391220092773438]"
2019-11-08-17-59-50-305000,"[0.2860386371612549, 1.3986761569976807, 0.0038127899169921875]","[-5.700705051422119, -23.92127227783203, 0.06918586790561676]","[-0.04265475273132324, 1.2593777179718018, 0.2771635055541992]","[23.435928344726562, -14.241103172302246, 18.08728790283203]","[-0.390364408493042, 1.1901450157165527, 0.3259544372558594]","[-23.431594848632812, -11.66897964477539, 11.833674430847168]"
2019-11-08-17-59-50-805000,"[0.28733348846435547, 1.3997490406036377, 0.004233837127685547]","[-5.558689594268799, -23.800199508666992, -0.25370585918426514]","[0.00687408447265625, 1.267776370048523, 0.2464299201965332]","[41.73827362060547, -16.930702209472656, 8.86993408203125]","[-0.3887817859649658, 1.192188024520874, 0.32165026664733887]","[-23.490360260009766, -11.81990909576416, 11.948002815246582]"
2019-11-08-17-59-51-306000,"[0.2861959934234619, 1.3991667032241821, 0.004626035690307617]","[-5.333110332489014, -23.714807510375977, -0.3747638463973999]","[0.01913905143737793, 1.2590161561965942, 0.23845815658569336]","[42.06298828125, -15.013906478881836, 6.193188667297363]","[-0.3913908004760742, 1.193296194076538, 0.319500207901001]","[-24.268590927124023, -12.318172454833984, 12.255226135253906]"
2019-11-08-17-59-51-806000,"[0.28607654571533203, 1.3992563486099243, 0.004785776138305664]","[-5.385595798492432, -23.80607032775879, -0.3449036180973053]","[0.017214298248291016, 1.251002311706543, 0.23953032493591309]","[37.76748275756836, -14.009703636169434, 6.414422988891602]","[-0.3919851779937744, 1.193013072013855, 0.32077574729919434]","[-24.109020233154297, -12.420392990112305, 12.237436294555664]"
2019-11-08-17-59-52-307000,"[0.28606486320495605, 1.399529218673706, 0.00039124488830566406]","[-5.416296482086182, -23.759695053100586, -0.5154039263725281]","[0.025063276290893555, 1.3122482299804688, 0.2586531639099121]","[14.39000415802002, -3.323556900024414, 13.884854316711426]","[-0.3937966823577881, 1.1918233633041382, 0.3220345973968506]","[-23.496519088745117, -12.100091934204102, 12.571263313293457]"
