TIMESTAMP,HEAD_POS_REL,HEAD_EULER_REL,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-08-18-02-31-052000,"[1.9849967956542969, 1.027539610862732, 0.14192748069763184]","[73.04852294921875, 41.295745849609375, -0.2440665066242218]","[-0.096343994140625, 0.665489912033081, -2.115222454071045]","[-154.3514862060547, 9.97291088104248, 34.93515396118164]","[0.4823570251464844, 0.8050351142883301, -2.020038604736328]","[119.25502014160156, -14.611681938171387, -26.730331420898438]"
2019-11-08-18-02-31-552000,"[2.0219249725341797, 1.0125359296798706, 0.13752126693725586]","[75.24063873291016, 46.52738952636719, 0.8361998796463013]","[-0.08582687377929688, 0.6610091924667358, -2.1438746452331543]","[-157.2439422607422, 10.807696342468262, 35.506954193115234]","[0.48392367362976074, 0.7892780303955078, -2.0334763526916504]","[117.46116638183594, -12.30864429473877, -28.740095138549805]"
2019-11-08-18-02-32-053000,"[2.0704574584960938, 1.0214900970458984, 0.18978548049926758]","[76.93434143066406, 44.47257995605469, -0.9960304498672485]","[-0.03533124923706055, 0.6556283235549927, -2.1749744415283203]","[-153.68972778320312, 11.9649658203125, 34.735774993896484]","[0.5319304466247559, 0.7942032814025879, -2.1007699966430664]","[123.43876647949219, -13.011344909667969, -31.237812042236328]"
2019-11-08-18-02-32-553000,"[2.118255615234375, 1.0347555875778198, 0.23485708236694336]","[80.11013793945312, 39.24614715576172, 0.512498140335083]","[0.011067390441894531, 0.7012690305709839, -2.236320972442627]","[-153.4612579345703, 1.593021035194397, 36.45240020751953]","[0.5744855403900146, 0.808014988899231, -2.1792383193969727]","[126.17643737792969, -15.152071952819824, -26.23484992980957]"
2019-11-08-18-02-33-054000,"[2.1708383560180664, 1.0300532579421997, 0.22373104095458984]","[74.6103286743164, 39.5639533996582, 2.096041202545166]","[0.016046524047851562, 0.7094089984893799, -2.332571506500244]","[-163.31922912597656, -1.130638837814331, 40.96560287475586]","[0.5466578006744385, 0.8017090559005737, -2.2096877098083496]","[126.04228973388672, -14.300768852233887, -26.814498901367188]"
2019-11-08-18-02-33-556000,"[2.1164822578430176, 1.055784821510315, 0.275054931640625]","[11.424999237060547, 30.046363830566406, 3.6047699451446533]","[0.30628013610839844, 0.7121247053146362, -2.4196248054504395]","[130.9910888671875, 2.015184164047241, 44.21371841430664]","[0.4511904716491699, 0.8204512596130371, -1.8778185844421387]","[65.45893859863281, -18.14462661743164, -29.883766174316406]"
2019-11-08-18-02-34-057000,"[1.9064946174621582, 1.0508962869644165, 0.3446371555328369]","[-43.41801834106445, 30.970073699951172, 1.233482003211975]","[0.59368896484375, 0.7196677923202515, -2.086667537689209]","[76.93318939208984, 0.3020625710487366, 35.24320983886719]","[0.2556929588317871, 0.838687539100647, -1.6254096031188965]","[12.939970970153809, -22.20958709716797, -31.56354331970215]"
2019-11-08-18-02-34-558000,"[1.7382445335388184, 1.0368945598602295, 0.4356536865234375]","[-63.3940315246582, 38.35501480102539, -0.35051974654197693]","[0.6954221725463867, 0.7076951265335083, -1.841559886932373]","[59.731475830078125, 1.4993844032287598, 37.661895751953125]","[0.2311544418334961, 0.8392691612243652, -1.527308464050293]","[-4.9319682121276855, -20.292285919189453, -35.52383041381836]"
2019-11-08-18-02-35-058000,"[1.5206689834594727, 1.0488978624343872, 0.46269798278808594]","[-82.2098617553711, 34.2354621887207, 1.251956582069397]","[0.7491765022277832, 0.7303801774978638, -1.5180730819702148]","[41.31654739379883, -3.822899103164673, 38.18305969238281]","[0.20362520217895508, 0.8653243780136108, -1.3842434883117676]","[-24.572744369506836, -26.120012283325195, -35.128868103027344]"
2019-11-08-18-02-35-559000,"[1.2562246322631836, 1.0588654279708862, 0.37924885749816895]","[-96.42740631103516, 31.340547561645508, 2.6504971981048584]","[0.6483056545257568, 0.7492142915725708, -1.182180404663086]","[25.272092819213867, -6.4421916007995605, 36.74191665649414]","[0.11238241195678711, 0.8783118724822998, -1.1575169563293457]","[-35.68377685546875, -29.12526512145996, -32.38996887207031]"
2019-11-08-18-02-36-060000,"[0.9938263893127441, 1.0519405603408813, 0.38379907608032227]","[-97.51448059082031, 31.699508666992188, 4.10123348236084]","[0.6654112339019775, 0.745367169380188, -0.90622878074646]","[25.724149703979492, -7.446107387542725, 43.05415344238281]","[0.10243082046508789, 0.8486050367355347, -0.9248077869415283]","[-44.523319244384766, -25.885425567626953, -31.4771671295166]"
2019-11-08-18-02-36-560000,"[0.7347962856292725, 1.0540214776992798, 0.3265390396118164]","[-91.8849868774414, 27.85723304748535, 3.2746634483337402]","[0.6085383892059326, 0.7475284337997437, -0.6444885730743408]","[30.566810607910156, -7.304880619049072, 37.101707458496094]","[0.03970479965209961, 0.8441480398178101, -0.6482460498809814]","[-43.34966278076172, -24.8460750579834, -29.49785614013672]"
2019-11-08-18-02-37-064000,"[0.446530818939209, 1.054051399230957, 0.3108031749725342]","[-87.9507827758789, 21.381732940673828, 3.4553604125976562]","[0.5899410247802734, 0.7520959377288818, -0.36438822746276855]","[30.8364315032959, -10.23099136352539, 38.43222427368164]","[0.06339263916015625, 0.8572400808334351, -0.30722641944885254]","[-30.60799217224121, -27.629684448242188, -28.638578414916992]"
2019-11-08-18-02-37-564000,"[0.12893438339233398, 1.0696908235549927, 0.3635411262512207]","[-82.18756103515625, 17.588300704956055, 4.0438055992126465]","[0.6077632904052734, 0.809341311454773, -0.004606723785400391]","[25.93417739868164, -19.22637367248535, 34.282470703125]","[0.13662385940551758, 0.8682996034622192, 0.03633928298950195]","[-23.733631134033203, -27.21889305114746, -27.67983627319336]"
2019-11-08-18-02-38-064000,"[-0.14668655395507812, 1.0772743225097656, 0.3801150321960449]","[-79.92756652832031, 15.930074691772461, 4.233884811401367]","[0.5877246856689453, 0.8384138345718384, 0.3238794803619385]","[19.179658889770508, -21.350561141967773, 22.376283645629883]","[0.21379685401916504, 0.8959841728210449, 0.371631383895874]","[-10.197406768798828, -31.400897979736328, -25.004507064819336]"
2019-11-08-18-02-38-564000,"[-0.3699493408203125, 1.0779672861099243, 0.4128446578979492]","[-79.2624740600586, 18.034055709838867, 4.576693058013916]","[0.6021552085876465, 0.8298498392105103, 0.6169705390930176]","[14.277687072753906, -14.073131561279297, 11.909873962402344]","[0.298267126083374, 0.8904571533203125, 0.634986162185669]","[-4.5608673095703125, -26.94906997680664, -13.517985343933105]"
2019-11-08-18-02-39-065000,"[-0.5216114521026611, 1.077650785446167, 0.33588457107543945]","[-78.32767486572266, 21.940555572509766, 3.3916773796081543]","[0.5387096405029297, 0.8326258659362793, 0.6516430377960205]","[20.46015739440918, -25.595911026000977, 25.647205352783203]","[0.25603270530700684, 0.8926272392272949, 0.7289767265319824]","[3.1508727073669434, -28.971057891845703, -17.201147079467773]"
2019-11-08-18-02-39-565000,"[-0.5522589683532715, 1.0810195207595825, 0.3477919101715088]","[-82.83101654052734, 21.190200805664062, 5.143352031707764]","[0.5443074703216553, 0.881455659866333, 0.6819021701812744]","[16.514659881591797, -36.82725143432617, 17.42810821533203]","[0.2302687168121338, 0.8893042802810669, 0.7288467884063721]","[-9.697775840759277, -30.7525577545166, -12.116765022277832]"
2019-11-08-18-02-40-067000,"[-0.5629184246063232, 1.081853985786438, 0.34777140617370605]","[-82.59294891357422, 19.823823928833008, 5.183652400970459]","[0.5413062572479248, 0.8891736268997192, 0.7039082050323486]","[16.929412841796875, -38.0733757019043, 15.232056617736816]","[0.23250532150268555, 0.8904398679733276, 0.7418086528778076]","[-9.43812370300293, -32.3260383605957, -14.022865295410156]"
2019-11-08-18-02-40-567000,"[-0.5691385269165039, 1.083642840385437, 0.3420867919921875]","[-84.60317993164062, 18.322463989257812, 5.236380100250244]","[0.5377168655395508, 0.8944127559661865, 0.7215676307678223]","[16.569395065307617, -38.693634033203125, 14.104538917541504]","[0.21331310272216797, 0.893586277961731, 0.7486875057220459]","[-14.105234146118164, -33.232120513916016, -12.087285041809082]"
2019-11-08-18-02-41-067000,"[-0.5685477256774902, 1.083336353302002, 0.34824609756469727]","[-82.73323822021484, 17.383014678955078, 5.142192363739014]","[0.542616605758667, 0.8949898481369019, 0.7262353897094727]","[17.68756103515625, -37.956119537353516, 14.379088401794434]","[0.21042609214782715, 0.9010723829269409, 0.756413459777832]","[-14.101241111755371, -34.08709716796875, -11.157770156860352]"
2019-11-08-18-02-41-568000,"[-0.5707526206970215, 1.084736704826355, 0.34801149368286133]","[-83.61941528320312, 16.709352493286133, 5.274348735809326]","[0.5432865619659424, 0.8992151021957397, 0.7352955341339111]","[17.066505432128906, -37.24208450317383, 15.674073219299316]","[0.21512341499328613, 0.9016293287277222, 0.7499651908874512]","[-16.32879638671875, -34.759490966796875, -10.011290550231934]"
2019-11-08-18-02-42-069000,"[-0.5730423927307129, 1.0833765268325806, 0.3573493957519531]","[-82.9128646850586, 17.2066593170166, 4.437867641448975]","[0.5476508140563965, 0.8969582319259644, 0.7427117824554443]","[17.556121826171875, -34.334049224853516, 13.669230461120605]","[0.21102643013000488, 0.9112225770950317, 0.7532744407653809]","[-16.638835906982422, -36.077903747558594, -10.536713600158691]"
2019-11-08-18-02-42-570000,"[-0.5780155658721924, 1.0822334289550781, 0.3587050437927246]","[-84.91157531738281, 17.732280731201172, 3.5611155033111572]","[0.529477596282959, 0.8948763608932495, 0.7672033309936523]","[16.810802459716797, -33.668338775634766, 21.579423904418945]","[0.20520448684692383, 0.908537745475769, 0.7784639596939087]","[-18.796842575073242, -32.131378173828125, -14.36556625366211]"
2019-11-08-18-02-43-071000,"[-0.5680861473083496, 1.0802971124649048, 0.35919809341430664]","[-82.52249908447266, 17.904428482055664, 4.430830955505371]","[0.49796605110168457, 0.9129594564437866, 0.7652513980865479]","[-12.510430335998535, -50.857421875, 88.92323303222656]","[0.2563192844390869, 0.9450321197509766, 0.8170163631439209]","[7.292187213897705, -44.88707733154297, -55.032142639160156]"
2019-11-08-18-02-43-573000,"[-0.5550916194915771, 1.0794004201889038, 0.34726572036743164]","[-82.56267547607422, 17.90671157836914, 4.889619827270508]","[0.5516581535339355, 0.8698232173919678, 0.8454408645629883]","[13.011563301086426, -14.474034309387207, 12.647130966186523]","[0.28255796432495117, 0.8726615905761719, 0.9411735534667969]","[1.9762496948242188, 9.99994945526123, 21.520376205444336]"
2019-11-08-18-02-44-074000,"[-0.5726606845855713, 1.080464243888855, 0.34673595428466797]","[-86.7572021484375, 19.258493423461914, 7.694432258605957]","[0.585378885269165, 0.8385624885559082, 0.8117996454238892]","[53.566749572753906, 15.571158409118652, -16.735519409179688]","[0.26779747009277344, 0.8413572311401367, 0.8888468742370605]","[-13.552642822265625, 25.29365348815918, 51.21855926513672]"
2019-11-08-18-02-44-575000,"[-0.5873293876647949, 1.0832043886184692, 0.3157038688659668]","[-98.34400177001953, 18.251306533813477, 4.888647079467773]","[0.46576690673828125, 0.9143078327178955, 0.769101619720459]","[23.778234481811523, -58.9468879699707, 35.08023452758789]","[0.2196340560913086, 0.8868430852890015, 0.8117225170135498]","[-16.222970962524414, -21.073760986328125, 5.9338812828063965]"
2019-11-08-18-02-45-075000,"[-0.58380126953125, 1.0794764757156372, 0.2558567523956299]","[-129.07980346679688, 19.790800094604492, 4.103879928588867]","[0.36069822311401367, 0.878730297088623, 0.7597713470458984]","[-14.283381462097168, -51.596717834472656, 49.050811767578125]","[0.19253230094909668, 0.8799493312835693, 0.789596676826477]","[-13.363779067993164, -13.71030044555664, 27.468639373779297]"
2019-11-08-18-02-45-576000,"[-0.5905654430389404, 1.0833053588867188, 0.3297872543334961]","[-98.20809936523438, 16.03828239440918, 8.639957427978516]","[0.35901546478271484, 0.867671012878418, 0.7476646900177002]","[-25.70305824279785, -50.855899810791016, 58.36985397338867]","[0.22047686576843262, 0.879279375076294, 0.7631020545959473]","[-13.128604888916016, -17.615942001342773, 26.921506881713867]"
2019-11-08-18-02-46-079000,"[-0.6051795482635498, 1.0821174383163452, 0.36094069480895996]","[-79.60234069824219, 17.511390686035156, 5.103984355926514]","[0.4048337936401367, 0.8599303960800171, 0.7464559078216553]","[-6.112023830413818, -41.80159378051758, 25.07756805419922]","[0.3052091598510742, 0.8846197128295898, 0.7525084018707275]","[6.330403804779053, -30.95242691040039, 2.4123032093048096]"
2019-11-08-18-02-46-580000,"[-0.6122884750366211, 1.10228431224823, 0.3595283031463623]","[-76.78958129882812, 5.0219268798828125, 4.960048198699951]","[0.42949891090393066, 0.855927586555481, 0.7524385452270508]","[-6.536584377288818, -41.81232452392578, 29.207252502441406]","[0.3045170307159424, 0.8715951442718506, 0.7758079767227173]","[1.9270882606506348, -26.288896560668945, -0.3716728091239929]"
2019-11-08-18-02-47-081000,"[-0.618227481842041, 1.1091556549072266, 0.34422802925109863]","[-83.3690185546875, -0.08020507544279099, 6.451080799102783]","[0.4497103691101074, 0.8552201986312866, 0.7629203796386719]","[2.623518228530884, -39.16593551635742, 24.572200775146484]","[0.3093252182006836, 0.8459577560424805, 0.7917318344116211]","[2.8270254135131836, -17.550445556640625, 2.43571400642395]"
2019-11-08-18-02-47-584000,"[-0.59796142578125, 1.1190378665924072, 0.33913350105285645]","[-83.6264877319336, -8.213990211486816, 5.922120571136475]","[0.46109580993652344, 0.8603606224060059, 0.7649493217468262]","[11.370381355285645, -37.94457244873047, 21.609697341918945]","[0.3027369976043701, 0.8534321784973145, 0.7850128412246704]","[1.383338212966919, -19.01325035095215, 0.3830907642841339]"
2019-11-08-18-02-48-084000,"[-0.5679669380187988, 1.1242938041687012, 0.3282763957977295]","[-87.23770141601562, -11.52237606048584, 5.1428985595703125]","[0.47133469581604004, 0.9920897483825684, 0.7745751142501831]","[8.544975280761719, -60.22797775268555, 24.659194946289062]","[0.2785022258758545, 0.9257528781890869, 0.7934390306472778]","[5.932194709777832, -24.533050537109375, -5.436223983764648]"
2019-11-08-18-02-48-585000,"[-0.525925874710083, 1.1324299573898315, 0.3354158401489258]","[-90.72904968261719, -19.00006103515625, 4.431149959564209]","[0.40784215927124023, 1.2617945671081543, 0.8031673431396484]","[-18.02705955505371, -63.02284622192383, 41.99162673950195]","[0.20342469215393066, 1.2797421216964722, 0.8162429332733154]","[-12.706061363220215, -54.96181869506836, -13.226243019104004]"
2019-11-08-18-02-49-086000,"[-0.4974091053009033, 1.1321313381195068, 0.3332955837249756]","[-94.23314666748047, -23.781230926513672, 4.941299915313721]","[0.39414191246032715, 1.3055038452148438, 0.7974052429199219]","[-18.21022605895996, -60.03166961669922, 48.98984146118164]","[0.18663835525512695, 1.3078498840332031, 0.804618239402771]","[-17.66524887084961, -52.822776794433594, -15.621356010437012]"
2019-11-08-18-02-49-587000,"[-0.5044746398925781, 1.1300084590911865, 0.3076746463775635]","[-104.9550552368164, -23.97705841064453, 12.144087791442871]","[0.4217660427093506, 1.3144326210021973, 0.8260259628295898]","[-5.243659496307373, -60.128570556640625, 42.335052490234375]","[0.16518735885620117, 1.3033808469772339, 0.8237042427062988]","[-20.62569808959961, -52.36397933959961, -17.75920867919922]"
2019-11-08-18-02-50-087000,"[-0.5212686061859131, 1.1312363147735596, 0.3062283992767334]","[-100.97466278076172, -26.27250099182129, 9.283468246459961]","[0.41704845428466797, 1.3214449882507324, 0.8355534076690674]","[-8.065916061401367, -61.179561614990234, 47.8107795715332]","[0.14536666870117188, 1.3078919649124146, 0.8427332639694214]","[-24.31395149230957, -53.04182052612305, -16.36507225036621]"
2019-11-08-18-02-50-590000,"[-0.5363678932189941, 1.1302629709243774, 0.30689525604248047]","[-106.2151870727539, -24.959264755249023, 11.825736045837402]","[0.4658348560333252, 1.3409744501113892, 0.8809770345687866]","[14.326172828674316, -57.34989929199219, 32.73522186279297]","[0.14166975021362305, 1.3295657634735107, 0.8787212371826172]","[-23.24610137939453, -50.377586364746094, -25.40294647216797]"
2019-11-08-18-02-51-092000,"[-0.5573279857635498, 1.1303914785385132, 0.32605886459350586]","[-102.92999267578125, -25.289819717407227, 8.592662811279297]","[0.4899301528930664, 1.3578931093215942, 0.8911170959472656]","[22.119571685791016, -57.142120361328125, 29.506380081176758]","[0.15191888809204102, 1.3615587949752808, 0.903866171836853]","[-24.249191284179688, -51.366111755371094, -28.288131713867188]"
2019-11-08-18-02-51-429000,"[-0.5711402893066406, 1.1347767114639282, 0.3417539596557617]","[-99.5387954711914, -27.94797706604004, 4.575166702270508]","[0.5004258155822754, 1.3751670122146606, 0.8663808107376099]","[24.602415084838867, -62.88976287841797, 29.003435134887695]","[0.18007469177246094, 1.3930649757385254, 0.923064112663269]","[-18.50874900817871, -55.14710998535156, -36.422603607177734]"
2019-11-08-18-02-51-593000,"[-0.5780906677246094, 1.1338623762130737, 0.34760451316833496]","[-97.12474060058594, -27.514934539794922, 2.026247978210449]","[0.5061278343200684, 1.366793155670166, 0.85772705078125]","[18.774181365966797, -65.58573150634766, 36.03508377075195]","[0.18535256385803223, 1.396960735321045, 0.9375996589660645]","[-19.864660263061523, -54.388187408447266, -33.34003829956055]"
2019-11-08-18-02-52-095000,"[-0.5854907035827637, 1.1177599430084229, 0.33564209938049316]","[-89.98943328857422, -13.40090560913086, 0.22372804582118988]","[0.5470318794250488, 1.2248461246490479, 0.9290428161621094]","[19.67339515686035, -44.74870300292969, 41.45010757446289]","[0.16950702667236328, 1.2291429042816162, 1.038098931312561]","[-18.679441452026367, -32.49898910522461, -35.857784271240234]"
2019-11-08-18-02-52-595000,"[-0.5910849571228027, 1.1023099422454834, 0.33852100372314453]","[-92.43511962890625, 1.6640139818191528, 1.793020248413086]","[0.5120975971221924, 0.8857817649841309, 0.9726712703704834]","[5.479310035705566, -8.570612907409668, 40.87079620361328]","[0.2409687042236328, 0.9219447374343872, 1.0193897485733032]","[2.3094611167907715, -4.605387210845947, -29.891111373901367]"
2019-11-08-18-02-53-095000,"[-0.5954906940460205, 1.0920350551605225, 0.37294793128967285]","[-90.11157989501953, 10.150384902954102, 1.8497917652130127]","[0.47431254386901855, 0.8312035799026489, 0.782270073890686]","[19.22965431213379, -30.73721694946289, -7.302872657775879]","[0.35291028022766113, 0.8741471767425537, 0.7779937982559204]","[17.646240234375, -30.744020462036133, -1.7032395601272583]"
2019-11-08-18-02-53-596000,"[-0.6137576103210449, 1.094375491142273, 0.3347811698913574]","[-86.31206512451172, 7.732697486877441, 0.03229298070073128]","[0.45669984817504883, 0.8526401519775391, 0.7675817012786865]","[33.18740463256836, -40.574951171875, -8.7013578414917]","[0.30472898483276367, 0.8850195407867432, 0.7565834522247314]","[11.74270248413086, -38.33446502685547, -12.21577262878418]"
2019-11-08-18-02-54-097000,"[-0.6406402587890625, 1.0944044589996338, 0.3129384517669678]","[-87.86563873291016, 7.129336833953857, 1.0386850833892822]","[0.40848636627197266, 0.8662815093994141, 0.7764850854873657]","[25.54203224182129, -47.6313362121582, -5.046910762786865]","[0.28915834426879883, 0.8704521656036377, 0.7737464904785156]","[11.458564758300781, -32.00917434692383, -22.811368942260742]"
2019-11-08-18-02-54-599000,"[-0.6463875770568848, 1.095574975013733, 0.32848691940307617]","[-84.80937194824219, 5.9748616218566895, 1.6068053245544434]","[0.41998910903930664, 0.8693712949752808, 0.7979611158370972]","[46.447654724121094, -44.17494583129883, -27.982458114624023]","[0.31833887100219727, 0.8419202566146851, 0.7676217555999756]","[19.128450393676758, -22.60149383544922, -37.51059341430664]"
2019-11-08-18-02-55-102000,"[-0.6575174331665039, 1.086843490600586, 0.34533143043518066]","[-85.63040924072266, 10.609838485717773, 0.7118962407112122]","[0.4225428104400635, 0.8489018678665161, 0.809984564781189]","[38.30136489868164, -38.2181396484375, -28.178081512451172]","[0.32889699935913086, 0.8155317306518555, 0.7812577486038208]","[21.573030471801758, -11.87414264678955, -36.967750549316406]"
2019-11-08-18-02-55-602000,"[-0.6683568954467773, 1.0930709838867188, 0.3447995185852051]","[-84.24948120117188, 9.148052215576172, 1.3181178569793701]","[0.4416313171386719, 0.8416147232055664, 0.8124070167541504]","[27.9448299407959, -35.632572174072266, -15.165419578552246]","[0.300853967666626, 0.851736307144165, 0.8049397468566895]","[13.973508834838867, -20.823801040649414, -19.72473907470703]"
2019-11-08-18-02-56-103000,"[-0.6546130180358887, 1.090002179145813, 0.3369638919830322]","[-89.18672943115234, 12.162367820739746, 3.849210500717163]","[0.4448680877685547, 0.8290213346481323, 0.7775850296020508]","[11.485844612121582, -39.31645965576172, 11.191102027893066]","[0.2882988452911377, 0.8559014797210693, 0.7848405838012695]","[4.155967712402344, -24.277929306030273, -11.553007125854492]"
2019-11-08-18-02-56-604000,"[-0.6391646862030029, 1.0788429975509644, 0.3423788547515869]","[-78.93204498291016, 18.2015380859375, 2.2237939834594727]","[0.4181990623474121, 0.8108992576599121, 0.7738748788833618]","[-0.7237202525138855, -30.12114906311035, 18.24195671081543]","[0.2995419502258301, 0.8446907997131348, 0.7756143808364868]","[6.1205315589904785, -21.98824691772461, -10.735926628112793]"
2019-11-08-18-02-57-104000,"[-0.6360161304473877, 1.0756313800811768, 0.2899637222290039]","[-88.96797180175781, 18.668933868408203, 2.0545482635498047]","[0.38698363304138184, 0.8148566484451294, 0.7695407867431641]","[2.542100191116333, -31.850364685058594, 14.235766410827637]","[0.23920297622680664, 0.8363524675369263, 0.7802715301513672]","[1.5925116539001465, -19.0883731842041, -9.033859252929688]"
2019-11-08-18-02-57-605000,"[-0.6338679790496826, 1.0776472091674805, 0.28463244438171387]","[-100.00373840332031, 16.675689697265625, 3.6292004585266113]","[0.3824343681335449, 0.7878763675689697, 0.7617762088775635]","[-7.289051055908203, -25.569625854492188, 22.256303787231445]","[0.23306918144226074, 0.8116133213043213, 0.7873916625976562]","[-6.537291526794434, -10.65722370147705, -6.100152492523193]"
2019-11-08-18-02-58-108000,"[-0.6485595703125, 1.0754578113555908, 0.26827478408813477]","[-94.73639678955078, 19.52056884765625, 4.020533561706543]","[0.3948359489440918, 0.7754898071289062, 0.7632730007171631]","[3.3907744884490967, -19.470550537109375, 15.62024974822998]","[0.19359135627746582, 0.7709615230560303, 0.7935017347335815]","[-5.734812259674072, -3.717134952545166, -22.083511352539062]"
2019-11-08-18-02-58-609000,"[-0.6649050712585449, 1.0700019598007202, 0.17157959938049316]","[-101.96442413330078, 21.841541290283203, 4.8187055587768555]","[0.3513915538787842, 0.6583420038223267, 0.80848228931427]","[12.798752784729004, 20.98657989501953, 8.270511627197266]","[0.08606123924255371, 0.6878900527954102, 0.8202877044677734]","[-9.700432777404785, 5.905416965484619, -32.38269805908203]"
2019-11-08-18-02-59-113000,"[-0.6688857078552246, 1.0807753801345825, 0.18335270881652832]","[-107.00025939941406, 18.12843894958496, 4.153650283813477]","[0.3991532325744629, 0.5243600606918335, 0.7937726974487305]","[32.0354118347168, 42.32524871826172, 25.18735122680664]","[0.057355403900146484, 0.5765079259872437, 0.7920937538146973]","[-19.407148361206055, 32.342403411865234, -26.94251823425293]"
2019-11-08-18-02-59-614000,"[-0.6814112663269043, 1.0838072299957275, 0.2483654022216797]","[-98.35955047607422, 17.596920013427734, 1.392329216003418]","[0.39557313919067383, 0.5730092525482178, 0.777716875076294]","[15.918503761291504, 33.907958984375, 14.808229446411133]","[0.09287238121032715, 0.6110633611679077, 0.7640795707702637]","[-11.119377136230469, 32.06193923950195, -19.590120315551758]"
2019-11-08-18-03-00-116000,"[-0.706160306930542, 1.0896650552749634, 0.23935675621032715]","[-97.31434631347656, 15.811878204345703, 1.2456377744674683]","[0.4327423572540283, 0.7529888153076172, 0.7367424964904785]","[13.960638046264648, 4.699010372161865, -9.358380317687988]","[-0.06063985824584961, 0.8260794878005981, 0.7241356372833252]","[-42.61471176147461, -0.7152908444404602, -33.8333854675293]"
2019-11-08-18-03-00-617000,"[-0.6917595863342285, 1.0931243896484375, 0.20349764823913574]","[-106.48040771484375, 12.491562843322754, 3.4337456226348877]","[0.4047234058380127, 0.8700757026672363, 0.7646012306213379]","[14.784107208251953, -22.666893005371094, -37.386417388916016]","[0.01267242431640625, 0.85577392578125, 0.7839319705963135]","[-33.27436065673828, -3.510319232940674, -3.523151159286499]"
2019-11-08-18-03-01-117000,"[-0.6882786750793457, 1.088722825050354, 0.20557808876037598]","[-103.59452056884766, 14.283400535583496, 2.9015116691589355]","[0.3613150119781494, 0.8794257640838623, 0.7529358863830566]","[1.3351812362670898, -24.71042823791504, -19.660709381103516]","[0.06241011619567871, 0.8255230188369751, 0.7824962139129639]","[-26.108110427856445, 10.120268821716309, 2.549959421157837]"
2019-11-08-18-03-01-618000,"[-0.6814515590667725, 1.0912373065948486, 0.18969130516052246]","[-99.22891998291016, 13.24291706085205, 2.250654697418213]","[0.3138086795806885, 0.8669440746307373, 0.749330997467041]","[-8.047493934631348, -20.09683609008789, -11.893584251403809]","[0.07973241806030273, 0.8709512948989868, 0.7959603071212769]","[-14.245116233825684, -7.30324649810791, -6.144265174865723]"
2019-11-08-18-03-02-119000,"[-0.6806423664093018, 1.0884703397750854, 0.1878957748413086]","[-96.52689361572266, 14.973004341125488, 3.736250162124634]","[0.3027796745300293, 0.8608686923980713, 0.8201131820678711]","[5.647799968719482, -27.892168045043945, 12.447710037231445]","[0.09988641738891602, 0.8628393411636353, 0.8265620470046997]","[-14.031615257263184, -13.004404067993164, -7.620635032653809]"
2019-11-08-18-03-02-621000,"[-0.711092472076416, 1.0724893808364868, 0.22963833808898926]","[-98.30699920654297, 23.437477111816406, 3.781442403793335]","[0.3670046329498291, 0.7482548952102661, 0.8742256164550781]","[17.357891082763672, 10.561878204345703, -2.6948211193084717]","[0.06686949729919434, 0.7796708345413208, 0.8487334251403809]","[-30.201231002807617, -1.043412685394287, -16.1149845123291]"
2019-11-08-18-03-03-123000,"[-0.735464334487915, 1.0715092420578003, 0.2056725025177002]","[-103.60379028320312, 23.701562881469727, 1.4477407932281494]","[0.32075953483581543, 0.7361087799072266, 0.8849877119064331]","[6.219982147216797, 4.27455997467041, 8.745636940002441]","[0.04183650016784668, 0.7514322996139526, 0.8502814769744873]","[-30.51609992980957, 2.951040029525757, -18.091283798217773]"
2019-11-08-18-03-03-624000,"[-0.7343738079071045, 1.0795865058898926, 0.18087553977966309]","[-104.94861602783203, 18.923648834228516, 1.206259846687317]","[0.31806325912475586, 0.7230920791625977, 0.8758834600448608]","[15.074812889099121, 7.663059711456299, 13.25599193572998]","[0.011889457702636719, 0.7543138265609741, 0.8386348485946655]","[-31.945573806762695, 3.0181643962860107, -20.708078384399414]"
2019-11-08-18-03-04-124000,"[-0.7401306629180908, 1.0808148384094238, 0.16774272918701172]","[-103.47050476074219, 18.792795181274414, 1.4813951253890991]","[0.31262755393981934, 0.7561384439468384, 0.8766810894012451]","[17.11495018005371, -2.4174423217773438, 14.168621063232422]","[-0.002218008041381836, 0.7633534669876099, 0.8455603122711182]","[-31.618179321289062, 0.156805619597435, -21.62897491455078]"
2019-11-08-18-03-04-625000,"[-0.7295033931732178, 1.0834678411483765, 0.1573328971862793]","[-105.15081024169922, 17.502574920654297, 3.0651979446411133]","[0.3096485137939453, 0.7803715467453003, 0.8671046495437622]","[18.4872989654541, -9.326001167297363, 13.148077964782715]","[-0.025342702865600586, 0.7706702947616577, 0.8354157209396362]","[-36.38390350341797, -1.0423309803009033, -20.469924926757812]"
2019-11-08-18-03-05-125000,"[-0.7243232727050781, 1.0863884687423706, 0.1563582420349121]","[-103.30401611328125, 16.72157859802246, 3.764399528503418]","[0.3398284912109375, 0.803458571434021, 0.8533408641815186]","[28.92896270751953, -13.724432945251465, 7.020586967468262]","[-0.06214427947998047, 0.7936924695968628, 0.8302903175354004]","[-42.663612365722656, -5.725144863128662, -20.68132781982422]"
