TIMESTAMP,HEAD_POS_GLB,HEAD_EULER_GLB,CONTROLLER_1_POS_GLB,CONTROLLER_1_EULER_GLB,CONTROLLER_2_POS_GLB,CONTROLLER_2_EULER_GLB
2019-11-11-14-56-59-986000,"[-0.11696577072143555, 1.0775532722473145, -0.0011472702026367188]","[-6.798306941986084, 3.12223482131958, 2.5928738117218018]","[-0.17371129989624023, 0.6450872421264648, 0.4143855571746826]","[0.21109327673912048, -32.09077835083008, 14.324934005737305]","[-0.04495668411254883, 0.6224124431610107, 0.39635324478149414]","[11.232882499694824, -31.27946662902832, -13.590922355651855]"
2019-11-11-14-57-00-487000,"[-0.11611127853393555, 1.0774116516113281, -0.0018131732940673828]","[-6.932000160217285, 3.1814730167388916, 2.421851634979248]","[-0.17342782020568848, 0.6444272994995117, 0.4137592315673828]","[0.19366218149662018, -32.04536437988281, 14.392035484313965]","[-0.04476499557495117, 0.6220846176147461, 0.3960583209991455]","[11.127448081970215, -31.091575622558594, -13.457219123840332]"
2019-11-11-14-57-00-987000,"[-0.11449098587036133, 1.0775420665740967, -0.0019130706787109375]","[-6.5419793128967285, 3.0606658458709717, 2.319521427154541]","[-0.17360377311706543, 0.645270586013794, 0.4138600826263428]","[0.15654334425926208, -32.21311569213867, 14.73707103729248]","[-0.04455137252807617, 0.6235241889953613, 0.39624977111816406]","[10.997323036193848, -31.3609561920166, -13.3473539352417]"
2019-11-11-14-57-01-488000,"[-0.11397194862365723, 1.077440619468689, -0.0021164417266845703]","[-6.630064487457275, 3.060868740081787, 2.1697144508361816]","[-0.17317891120910645, 0.6452856063842773, 0.41327524185180664]","[0.04976069927215576, -32.169212341308594, 14.843255043029785]","[-0.04467201232910156, 0.6238406896591187, 0.3958408832550049]","[10.934513092041016, -31.378633499145508, -13.294758796691895]"
2019-11-11-14-57-01-988000,"[-0.1141045093536377, 1.0779706239700317, -0.0009522438049316406]","[-6.394379615783691, 2.795651912689209, 2.0609073638916016]","[-0.17294096946716309, 0.6449145078659058, 0.41355037689208984]","[0.1695517748594284, -32.241310119628906, 14.539824485778809]","[-0.0444643497467041, 0.6229678392410278, 0.39652276039123535]","[11.00773811340332, -31.212360382080078, -13.580947875976562]"
2019-11-11-14-57-02-489000,"[-0.11457300186157227, 1.0777300596237183, -0.0006053447723388672]","[-6.504913330078125, 2.871840238571167, 2.110714912414551]","[-0.1729717254638672, 0.6446648836135864, 0.4136321544647217]","[0.1305014193058014, -32.217613220214844, 14.492904663085938]","[-0.044782161712646484, 0.6227225065231323, 0.3968381881713867]","[11.066229820251465, -31.288471221923828, -13.572131156921387]"
2019-11-11-14-57-02-989000,"[-0.11431026458740234, 1.0777270793914795, -0.001965045928955078]","[-6.583059310913086, 2.7397587299346924, 2.154324531555176]","[-0.17233538627624512, 0.6441015005111694, 0.4123249053955078]","[0.06655971705913544, -32.22210693359375, 14.690122604370117]","[-0.04455423355102539, 0.6227858066558838, 0.3955974578857422]","[10.989300727844238, -31.469701766967773, -13.303531646728516]"
2019-11-11-14-57-03-490000,"[-0.11322999000549316, 1.0774972438812256, -0.0011451244354248047]","[-6.449787139892578, 2.890488624572754, 1.8606916666030884]","[-0.17232894897460938, 0.6448266506195068, 0.41248178482055664]","[0.016428446397185326, -32.22718048095703, 14.702130317687988]","[-0.04473471641540527, 0.6235196590423584, 0.39588260650634766]","[10.896524429321289, -31.3709774017334, -13.304412841796875]"
2019-11-11-14-57-03-990000,"[-0.11226654052734375, 1.077710509300232, -0.0011668205261230469]","[-6.216030597686768, 2.8666820526123047, 1.8470932245254517]","[-0.17242074012756348, 0.6437394618988037, 0.41282057762145996]","[0.11112058162689209, -32.04691696166992, 14.654486656188965]","[-0.04478192329406738, 0.6225637197494507, 0.3965160846710205]","[10.908642768859863, -31.049531936645508, -13.342628479003906]"
2019-11-11-14-57-04-491000,"[-0.11294746398925781, 1.0776773691177368, -0.0012531280517578125]","[-6.223591327667236, 2.8011856079101562, 1.888123869895935]","[-0.17185688018798828, 0.6437158584594727, 0.4124770164489746]","[0.05694077908992767, -31.858943939208984, 14.308140754699707]","[-0.04455852508544922, 0.6219754219055176, 0.39606142044067383]","[10.97909927368164, -31.121416091918945, -13.409723281860352]"
